k,assignments_select,comparisons_select,operations_select,assignments_bubble,comparisons_bubble,operations_bubble,assignments_binInsertion,comparisons_binInsertion,operations_binInsertion
1100,3297,604450,607747,0,1099,1099,216452,4334742,4551194
1200,3597,719400,722997,0,1199,1199,161335,4340083,4501418
1300,3897,844350,848247,0,1299,1299,191954,4345146,4537100
1400,4197,979300,983497,0,1399,1399,279082,4349383,4628465
1500,4497,1124250,1128747,0,1499,1499,194274,4356110,4550384
1600,4797,1279200,1283997,0,1599,1599,142276,4365381,4507657
1700,5097,1444150,1449247,0,1699,1699,414550,4370624,4785174
1800,5397,1619100,1624497,0,1799,1799,608772,4375671,4984443
1900,5697,1804050,1809747,0,1899,1899,801928,4379182,5181110
2000,5997,1999000,2004997,0,1999,1999,622021,4385575,5007596
2100,6297,2203950,2210247,0,2099,2099,939748,4390962,5330710
2200,6597,2418900,2425497,0,2199,2199,827279,4398001,5225280
2300,6897,2643850,2650747,0,2299,2299,717021,4405444,5122465
2400,7197,2878800,2885997,0,2399,2399,394821,4418147,4812968
2500,7497,3123750,3131247,0,2499,2499,1068814,4425366,5494180
2600,7797,3378700,3386497,0,2599,2599,523544,4438951,4962495
2700,8097,3643650,3651747,0,2699,2699,980036,4448506,5428542
2800,8397,3918600,3926997,0,2799,2799,969630,4459135,5428765
2900,8697,4203550,4212247,0,2899,2899,1757734,4466476,6224210
3000,8997,4498500,4507497,0,2999,2999,1769340,4473181,6242521
3100,9297,4803450,4812747,0,3099,3099,2248896,4478842,6727738
3200,9597,5118400,5127997,0,3199,3199,1186864,4491543,5678407
3300,9897,5443350,5453247,0,3299,3299,1381201,4504298,5885499
3400,10197,5778300,5788497,0,3399,3399,2670157,4510559,7180716
3500,10497,6123250,6133747,0,3499,3499,1333349,4524492,5857841
3600,10797,6478200,6488997,0,3599,3599,2129621,4536421,6666042
3700,11097,6843150,6854247,0,3699,3699,1315079,4553816,5868895
3800,11397,7218100,7229497,0,3799,3799,3494002,4560475,8054477
3900,11697,7603050,7614747,0,3899,3899,1673230,4575806,6249036
